lat, lon, Styrofoam_Box, Styrofoam_Piece, PET_Bottle, Glass, Metal, Plastic_ETC, Rope
35.166501, 128.033068, 0, 4, 0, 0, 0, 3, 0
35.166461, 128.033019, 0, 8, 1, 0, 0, 3, 0
35.166427, 128.032980, 0, 7, 1, 0, 0, 4, 0
35.166395, 128.032943, 0, 4, 0, 0, 0, 3, 0
35.166359, 128.032904, 0, 3, 1, 0, 0, 2, 0
35.166310, 128.032854, 0, 0, 0, 0, 0, 1, 0
35.166256, 128.032799, 0, 1, 0, 1, 0, 1, 0
35.166201, 128.032744, 0, 1, 0, 0, 0, 0, 0
35.166150, 128.032691, 0, 0, 0, 0, 0, 0, 0
35.166106, 128.032646, 0, 1, 0, 0, 0, 0, 0
35.166070, 128.032606, 0, 0, 0, 0, 0, 0, 0
35.166021, 128.032553, 0, 1, 1, 0, 1, 0, 0
35.165962, 128.032515, 0, 3, 1, 1, 1, 1, 0
35.165911, 128.032541, 0, 4, 5, 0, 1, 2, 0
35.165858, 128.032481, 0, 6, 8, 2, 2, 6, 0
35.165787, 128.032406, 0, 14, 5, 0, 0, 5, 0
35.165720, 128.032336, 0, 10, 3, 0, 1, 5, 0
35.165661, 128.032273, 0, 9, 3, 0, 0, 0, 0
35.165611, 128.032222, 0, 11, 2, 0, 1, 5, 0
35.165575, 128.032186, 0, 7, 2, 1, 1, 4, 0
35.165513, 128.032121, 0, 12, 4, 0, 0, 8, 0
35.165455, 128.032037, 0, 7, 7, 0, 4, 3, 0
35.165407, 128.031952, 0, 8, 5, 0, 0, 7, 0
35.165360, 128.031879, 0, 7, 6, 0, 0, 7, 0
35.165310, 128.031824, 0, 2, 3, 0, 0, 4, 0
35.165259, 128.031774, 0, 4, 5, 0, 0, 3, 0
35.165212, 128.031727, 0, 5, 7, 0, 1, 3, 0
35.165167, 128.031684, 1, 6, 3, 0, 0, 2, 0
35.165129, 128.031646, 0, 9, 5, 0, 0, 6, 0
35.165093, 128.031611, 0, 10, 6, 0, 1, 5, 0
35.165058, 128.031574, 1, 5, 4, 0, 0, 4, 0
35.165027, 128.031538, 1, 7, 3, 0, 0, 6, 0
35.164992, 128.031498, 0, 6, 1, 0, 1, 0, 0
